the_geom,cartodb_id,address,latitude,longitude,neighborhood
0101000020E61000009FE40E9BC84153C0AEF36F97FD724340,50,Metro Center / 12th & G St NW,38.898364,-77.027869,Downtown
0101000020E610000012A0A696AD4153C088F4DBD781734340,51,10th & K St NW,38.9024,-77.02622,Downtown
0101000020E610000036CD3B4ED14153C070404B57B0734340,52,12th & L St NW,38.903819,-77.0284,Downtown
0101000020E6100000AE105663094253C09546CCECF3724340,53,14th & G St NW,38.898069,-77.031823,Downtown
0101000020E61000006C6FB724074253C0B037312427734340,54,14th St & New York Ave NW,38.899632,-77.031686,Downtown
0101000020E6100000D0B359F5B94153C00ABE69FAEC724340,55,11th & F St NW,38.897857,-77.026975,Downtown
0101000020E61000003DD175E1074153C0BD55D7A19A724340,56,4th & D St NW / Judiciary Square,38.895344,-77.016106,Downtown East
0101000020E6100000F1F62004E44053C0EA04341136724340,57,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917,Downtown East
0101000020E6100000DD274701A24053C088F6B182DF724340,58,North Capitol St & F St NW,38.897446,-77.009888,Downtown East
0101000020E61000001ED7868A714253C005172B6A30754340,59,New Hampshire Ave & T St NW,38.91554,-77.03818,Dupont Circle
0101000020E6100000F4E0EEACDD4253C0DF15C1FF56744340,60,20th & O St NW / Dupont South,38.908905,-77.04478,Dupont Circle
0101000020E610000018778368AD4253C0406150A6D1744340,61,18th & R St NW,38.912648,-77.041834,Dupont Circle
0101000020E610000077A04E79744253C0DF0F3FFF3D744340,62,17th St & Massachusetts Ave NW,38.908142,-77.038359,Dupont Circle
0101000020E610000050FC1873D74253C0780B24287E744340,63,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,Dupont Circle
0101000020E6100000BB96900F7A4253C03F575BB1BF744340,64,17th & Corcoran St NW,38.9121,-77.0387,Dupont Circle
0101000020E6100000D3A414747B4253C07D3ECA880B744340,65,17th & Rhode Island Ave NW,38.906602,-77.038785,Dupont Circle
0101000020E61000008CDB68006F3D53C073D712F2416F4340,66,Branch & Pennsylvania Ave SE,38.8692,-76.9599,Dupont Park
0101000020E6100000B3B3E89D0A4053C0BEC0AC50A4754340,67,4th & W St NE,38.919077,-77.000648,Eckington
0101000020E61000005F07CE19514053C02EC901BB9A744340,68,Eckington Pl & Q St NE,38.910972,-77.00495,Eckington
0101000020E61000005BB22AC24D4053C056D4601A86754340,69,Rhode Island Ave & V St NE,38.918155,-77.004746,Eckington
0101000020E6100000C3B7B06EBC3F53C0080264E8D8754340,70,Rhode Island Ave Metro,38.920682,-76.995876,Eckington
0101000020E61000001D71C806D23F53C0AE11C138B8764340,71,Hamlin & 7th St NE,38.927497,-76.997194,Edgewood
0101000020E61000000B0BEE073C3F53C079371614066F4340,72,Good Hope Rd & MLK Ave SE,38.867373,-76.988039,Fairlawn
